"Country","People Living with T1D","People who should still be alive today","Healthy years of life lost per person","Healthy years of life lost to treatment","Healthy years of life lost to treatment (Peers)","Healthy years of life lost to complications","Healthy years of life lost to complications (Peers)","Healthy years of life lost to shorter life","Healthy years of life lost to shorter life (Peers)","Healthy years of life lost to cost of care","Healthy years of life lost to cost of care (Peers)","Healthy years of life lost to mental health","Healthy years of life lost to mental health (Peers)","Healthy years of life lost to quality of life","Healthy years of life lost to quality of life (Peers)","Healthy years stolen","Healthy years stolen (Peers)","Healthy years remaining","Healthy years remaining (Peers)","Percentage of families impacted by T1D in 1990","Percentage of families impacted by T1D in 2022","Percentage of families impacted by T1D in 2040","T1D growth from 2000-2000","T1D growth from 2000-2001","T1D growth from 2000-2002","T1D growth from 2000-2003","T1D growth from 2000-2004","T1D growth from 2000-2005","T1D growth from 2000-2006","T1D growth from 2000-2007","T1D growth from 2000-2008","T1D growth from 2000-2009","T1D growth from 2000-2010","T1D growth from 2000-2011","T1D growth from 2000-2012","T1D growth from 2000-2013","T1D growth from 2000-2014","T1D growth from 2000-2015","T1D growth from 2000-2016","T1D growth from 2000-2017","T1D growth from 2000-2018","T1D growth from 2000-2019","T1D growth from 2000-2020","T1D growth from 2000-2021","T1D growth from 2000-2022","Population growth from 2000-2000","Population growth from 2000-2001","Population growth from 2000-2002","Population growth from 2000-2003","Population growth from 2000-2004","Population growth from 2000-2005","Population growth from 2000-2006","Population growth from 2000-2007","Population growth from 2000-2008","Population growth from 2000-2009","Population growth from 2000-2010","Population growth from 2000-2011","Population growth from 2000-2012","Population growth from 2000-2013","Population growth from 2000-2014","Population growth from 2000-2015","Population growth from 2000-2016","Population growth from 2000-2017","Population growth from 2000-2018","Population growth from 2000-2019","Population growth from 2000-2020","Population growth from 2000-2021","Population growth from 2000-2022","T2D growth from 2000-2000","T2D growth from 2000-2001","T2D growth from 2000-2002","T2D growth from 2000-2003","T2D growth from 2000-2004","T2D growth from 2000-2005","T2D growth from 2000-2006","T2D growth from 2000-2007","T2D growth from 2000-2008","T2D growth from 2000-2009","T2D growth from 2000-2010","T2D growth from 2000-2011","T2D growth from 2000-2012","T2D growth from 2000-2013","T2D growth from 2000-2014","T2D growth from 2000-2015","T2D growth from 2000-2016","T2D growth from 2000-2017","T2D growth from 2000-2018","T2D growth from 2000-2019","T2D growth from 2000-2020","T2D growth from 2000-2021","T2D growth from 2000-2022","HIV growth from 2000-2000","HIV growth from 2000-2001","HIV growth from 2000-2002","HIV growth from 2000-2003","HIV growth from 2000-2004","HIV growth from 2000-2005","HIV growth from 2000-2006","HIV growth from 2000-2007","HIV growth from 2000-2008","HIV growth from 2000-2009","HIV growth from 2000-2010","HIV growth from 2000-2011","HIV growth from 2000-2012","HIV growth from 2000-2013","HIV growth from 2000-2014","HIV growth from 2000-2015","HIV growth from 2000-2016","HIV growth from 2000-2017","HIV growth from 2000-2018","HIV growth from 2000-2019","HIV growth from 2000-2020","HIV growth from 2000-2021","HIV growth from 2000-2022","Asthma growth from 2000-2000","Asthma growth from 2000-2001","Asthma growth from 2000-2002","Asthma growth from 2000-2003","Asthma growth from 2000-2004","Asthma growth from 2000-2005","Asthma growth from 2000-2006","Asthma growth from 2000-2007","Asthma growth from 2000-2008","Asthma growth from 2000-2009","Asthma growth from 2000-2010","Asthma growth from 2000-2011","Asthma growth from 2000-2012","Asthma growth from 2000-2013","Asthma growth from 2000-2014","Asthma growth from 2000-2015","Asthma growth from 2000-2016","Asthma growth from 2000-2017","Asthma growth from 2000-2018","Asthma growth from 2000-2019","Asthma growth from 2000-2020","Asthma growth from 2000-2021","Asthma growth from 2000-2022","Tuberculosis growth from 2000-2000","Tuberculosis growth from 2000-2001","Tuberculosis growth from 2000-2002","Tuberculosis growth from 2000-2003","Tuberculosis growth from 2000-2004","Tuberculosis growth from 2000-2005","Tuberculosis growth from 2000-2006","Tuberculosis growth from 2000-2007","Tuberculosis growth from 2000-2008","Tuberculosis growth from 2000-2009","Tuberculosis growth from 2000-2010","Tuberculosis growth from 2000-2011","Tuberculosis growth from 2000-2012","Tuberculosis growth from 2000-2013","Tuberculosis growth from 2000-2014","Tuberculosis growth from 2000-2015","Tuberculosis growth from 2000-2016","Tuberculosis growth from 2000-2017","Tuberculosis growth from 2000-2018","Tuberculosis growth from 2000-2019","Tuberculosis growth from 2000-2020","Tuberculosis growth from 2000-2021","Tuberculosis growth from 2000-2022","Life expectancy from age 10","Healthy years lost when developing T1D","Healthy years restored with onset diagnosis","Perctange of children with T1D undiagnosed","Uncelebrated birthdays this year","Educational poster cost in dollars","Healthy years restored with insulin and strips","Lives lost without insulin and strips","Uncelebrated birthdays this year2","Healthy hours restored with each test strip","Healthy years restored with device uptake","Days per year managing T1D without devices","Days per year restored through devices","T1D_growth_rate","Population_growth_rate","HIV_growth_rate","T2D_growth_rate","Asthma_growth_rate","Tuberculosis_growth_rate","t1d_index_dashboar_url","t1d_index_version"
"Channel Islands",962.1,249.2,35.029999999999994,2.83,2.55,15.63,6.65,16.57,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",35.029999999999994,18.136000000000003,49.39,64.628,"1.85%","4.02%","5.02%","100%","105.03%","109.97%","114.38%","119.07%","124.21%","129.95%","136%","141.66%","147.19%","153.03%","158.28%","163.71%","169.13%","173.57%","178.42%","183.5%","188.86%","194.63%","200.52%","206.31%","211.51%","216.28%","100%","100.44%","100.77%","101.1%","101.53%","102.17%","103.06%","104.17%","105.38%","106.55%","107.58%","108.44%","109.15%","109.81%","110.53%","111.39%","112.42%","113.59%","114.83%","116.01%","117.09%","118.02%","118.84%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.42,35.029999999999994,0,"0%",0,1,16.2,138.95,0,1.1117573827244247,3.5,18,39.719947229636006,3.57,0.79,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=830","1.0.4.15"
"Chile",36874.48,5248.02,24.93,2.84,2.55,8.08,6.65,14.009999999999998,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",24.93,18.136000000000003,56.71,64.628,"0.73%","1.42%","2.23%","100%","105.14%","110.23%","116.29%","124.15%","131.73%","140.47%","151.5%","162.42%","174.16%","187.24%","201.08%","215.7%","230.18%","245.96%","262.56%","279.8%","298.47%","317.74%","337.23%","356.43%","374.6%","391.94%","100%","101.13%","102.23%","103.31%","104.38%","105.48%","106.59%","107.74%","108.9%","110.06%","111.21%","112.32%","113.41%","114.52%","115.74%","117.11%","118.67%","120.37%","122.06%","123.51%","124.58%","125.2%","125.45%","100%","105.68%","111.8%","118.12%","124.25%","129.9%","135.34%","141.03%","146.9%","152.75%","158.39%","163.81%","169.18%","174.64%","180.29%","186.3%","196.21%","207.71%","218.07%","229.88%","229.88%","229.88%","229.88%","100%","104.76%","111.64%","120.45%","130.7%","141.88%","154.04%","166.52%","179.48%","192.96%","206.42%","220.2%","234.27%","248.67%","263.62%","279.61%","297.84%","318.2%","339.2%","360.99%","360.99%","360.99%","360.99%","100%","99.71%","98.19%","96.17%","94.46%","94.01%","94.49%","95.03%","95.74%","96.68%","97.85%","99.08%","100.26%","101.5%","102.94%","104.81%","113.74%","123.24%","125.83%","127.37%","127.37%","127.37%","127.37%","100%","99.32%","98.62%","97.89%","97.14%","96.38%","95.61%","94.83%","94.03%","93.2%","92.32%","91.34%","90.26%","89.17%","88.17%","87.43%","87.23%","87.22%","86.8%","86.08%","86.08%","86.08%","86.08%",81.64,24.93,0,"0%",0,1,4,1606.44,0,1.1117573827244247,6.2,18,39.719947229636006,6.41,1.04,6.01,3.86,1.11,-0.68,"https://t1dindex.shinyapps.io/dashboard/?loc_id=152","1.0.4.15"
"China",448480.05,167462.66,32.29999999999999,2.28,1.47,7.54,4.93,22.479999999999997,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",32.29999999999999,29.21,46.45,47.93,"0.12%","0.28%","0.51%","100%","110.26%","120.42%","129.51%","138.02%","147.93%","157.45%","166.98%","174.64%","182.41%","192.12%","202.26%","213.78%","225.85%","238.04%","250.77%","263.73%","276.72%","289.9%","303.31%","316.8%","330.41%","344.09%","100%","100.66%","101.3%","101.92%","102.52%","103.12%","103.71%","104.3%","104.88%","105.47%","106.06%","106.66%","107.26%","107.85%","108.44%","109.01%","109.57%","110.11%","110.62%","111.09%","111.52%","111.9%","112.23%","100%","104.78%","112.42%","121.46%","130.37%","137.19%","142.25%","146.83%","151.15%","155.57%","160.23%","166.17%","173.34%","180.9%","187.95%","193.24%","192.76%","189.89%","190.1%","191.68%","191.68%","191.68%","191.68%","100%","114.65%","131.57%","150.67%","172.31%","194.31%","214.78%","234.29%","251.66%","266.61%","279.16%","288.78%","295.53%","299.78%","301.49%","300.55%","297.75%","294.1%","290.19%","286.2%","286.2%","286.2%","286.2%","100%","96.68%","92.38%","87.82%","83.81%","81.11%","79.63%","78.61%","77.97%","77.71%","77.72%","77.89%","78.24%","79.03%","80.51%","82.75%","94.22%","106.91%","109.24%","105.11%","105.11%","105.11%","105.11%","100%","100.83%","100.89%","100.41%","99.62%","98.78%","96.72%","92.93%","88.73%","85.48%","84.65%","86.46%","89.6%","93.19%","96.31%","98.04%","97.86%","97.06%","96.44%","95.68%","95.68%","95.68%","95.68%",78.75,32.29999999999999,6,"5.5%",52721.38,1,7.3,56906.26,52721.38,1.3067665587021007,5.5,18,41.03166983020928,5.78,0.53,4.9,3,0.23,-0.2,"https://t1dindex.shinyapps.io/dashboard/?loc_id=156","1.0.4.15"
"Hong Kong",4981.88,741.4,30.389999999999993,2.99,2.55,12.83,6.65,14.57,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",30.389999999999993,18.136000000000003,55.14,64.628,"0.09%","0.35%","0.81%","100%","106.22%","113.77%","121.72%","128.02%","134.96%","142.17%","147.82%","156.18%","167.25%","179.39%","191.74%","203.4%","215.51%","230.26%","245.73%","257.05%","267.26%","279.94%","293.27%","306.95%","320.59%","334.8%","100%","100.88%","101.44%","101.79%","102.09%","102.46%","102.96%","103.53%","104.16%","104.8%","105.43%","106.04%","106.65%","107.28%","107.97%","108.75%","109.61%","110.56%","111.55%","112.52%","113.43%","114.27%","115.05%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.53,30.389999999999993,0,"0%",0,1,10.6,344.94,0,1.1117573827244247,4.3,18,39.719947229636006,5.65,0.64,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=344","1.0.4.15"
"Macao",444.92,50.58,31.830000000000005,2.96,2.55,14.05,6.65,14.82,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",31.830000000000005,18.136000000000003,53.34,64.628,"0.11%","0.33%","0.72%","100%","108.34%","118.86%","130.62%","141.16%","152.29%","163.67%","173.6%","186.86%","203.62%","222.1%","241.55%","260.8%","280.98%","305.18%","330.19%","348.15%","364.68%","384.76%","405.92%","427.68%","450.82%","474.63%","100%","102.37%","104.92%","107.57%","110.24%","112.88%","115.43%","117.94%","120.44%","123.05%","125.81%","128.76%","131.85%","134.96%","137.97%","140.74%","143.25%","145.53%","147.64%","149.7%","151.78%","153.89%","156.02%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.17,31.830000000000005,0,"0%",0,1,12.5,26.26,0,1.1117573827244247,3.9,18,39.719947229636006,7.34,2.04,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=446","1.0.4.15"
"Taiwan",21802.17,8491.88,32.040000000000006,2.56,2.55,9.88,6.65,19.60000000000001,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",32.040000000000006,18.136000000000003,49.72,64.628,"0.77%","1.21%","1.61%","100%","102.59%","105.28%","108.1%","110.98%","114.05%","117.23%","120.2%","123.25%","126.28%","129.47%","132.48%","135.17%","137.69%","140.16%","142.75%","145.19%","147.82%","150.56%","153.21%","155.78%","158.44%","160.95%","100%","100.65%","101.35%","102.06%","102.75%","103.36%","103.9%","104.37%","104.79%","105.18%","105.55%","105.92%","106.28%","106.62%","106.94%","107.23%","107.51%","107.76%","108%","108.21%","108.41%","108.58%","108.73%","100%","103.4%","106.94%","110.56%","114.4%","117.98%","121.7%","125.87%","130.3%","135.02%","139.42%","143.51%","147.51%","151.63%","156.08%","160.57%","165.24%","170.04%","176.43%","184.93%","184.93%","184.93%","184.93%","100%","111.52%","126.2%","143.31%","161.91%","180.68%","199%","216.91%","233.6%","248.02%","260.86%","271.7%","280.58%","288%","294.2%","300.11%","305.03%","309.67%","314.58%","319.29%","319.29%","319.29%","319.29%","100%","100.6%","100.91%","101%","101.13%","101.32%","101.84%","102.73%","103.7%","104.5%","104.71%","101.35%","93.55%","84.16%","75.94%","71.94%","71.43%","71.47%","71.95%","72.64%","72.64%","72.64%","72.64%","100%","101.08%","102.24%","103.45%","104.58%","105.57%","106.05%","105.95%","105.63%","105.39%","105.57%","106.03%","106.36%","106.52%","106.58%","106.54%","105.87%","104.79%","103.77%","102.62%","102.62%","102.62%","102.62%",81.76,32.040000000000006,0,"0%",0,1,11.1,3737.82,0,1.1117573827244247,5.4,18,39.719947229636006,2.19,0.38,5.42,2.83,-1.44,0.12,"https://t1dindex.shinyapps.io/dashboard/?loc_id=158","1.0.4.15"
"Colombia",18042.9,7894.75,36.77,2.04,1.47,6.83,4.93,27.9,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",36.77,29.21,42.61,47.93,"0.3%","0.35%","0.5%","100%","106.31%","112.87%","119.54%","126.51%","133.76%","141.17%","149.07%","157.33%","165.78%","174.46%","183.42%","192.45%","201.7%","211.51%","222.01%","233.17%","245.2%","257.89%","270.64%","283.23%","294.92%","306.28%","100%","101.58%","103.14%","104.68%","106.17%","107.61%","109.01%","110.36%","111.67%","112.92%","114.11%","115.22%","116.26%","117.32%","118.51%","119.91%","121.56%","123.41%","125.31%","127.02%","128.39%","129.35%","129.98%","100%","103.36%","105.8%","107.82%","110.07%","113.06%","116.91%","121.11%","125.56%","130.17%","134.75%","139.53%","144.64%","149.93%","155.41%","160.91%","166.92%","173.54%","181.59%","191.6%","191.6%","191.6%","191.6%","100%","102.44%","104.37%","107.17%","110.97%","115.46%","120.66%","127.59%","135.74%","143.31%","151.04%","160.09%","170.9%","183.18%","197.38%","213.41%","232.2%","253.44%","273.97%","293.72%","293.72%","293.72%","293.72%","100%","99%","97.4%","95.66%","94.28%","93.75%","94.04%","94.58%","95.15%","95.55%","95.56%","96.12%","97.78%","99.79%","101.44%","102.04%","99.37%","97.06%","97.27%","97.14%","97.14%","97.14%","97.14%","100%","100.5%","100.98%","101.4%","101.68%","101.72%","101.35%","100.56%","99.51%","98.32%","97.14%","95.99%","94.79%","93.52%","92.22%","90.94%","90.03%","89.44%","88.36%","86.84%","86.84%","86.84%","86.84%",79.38,36.77,4.4,"5.8%",2324.76,1,10.1,2397.74,2324.76,1.3067665587021007,6.5,18,41.03166983020928,5.22,1.2,5.02,3,-0.13,-0.64,"https://t1dindex.shinyapps.io/dashboard/?loc_id=170","1.0.4.15"
"Comoros",316.27,668.82,49.42,0.6,0.708,1.37,1.4100000000000001,47.45,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",49.42,43.67199999999999,20.799999999999997,30.208000000000002,"2.53%","2.81%","3.78%","100%","108.31%","117.34%","126.97%","137.76%","149.52%","162.05%","175.26%","189.88%","205.72%","222.61%","240.28%","259.06%","278.8%","299.61%","321.11%","343.26%","366.89%","391.2%","416.95%","443.01%","470.16%","498.61%","100%","102.5%","105%","107.53%","110.12%","112.77%","115.5%","118.3%","121.18%","124.13%","127.17%","130.28%","133.47%","136.72%","140.02%","143.34%","146.69%","150.07%","153.46%","156.89%","160.34%","163.81%","167.31%","100%","103.44%","107.1%","110.96%","114.98%","119.13%","123.57%","128.41%","133.45%","138.51%","143.46%","148.57%","154.16%","159.9%","165.55%","170.86%","176.66%","182.97%","189.76%","197.7%","197.7%","197.7%","197.7%","100%","112.94%","130.59%","150.17%","168.28%","181.11%","184.54%","180.99%","173.73%","166.09%","162.62%","164.04%","168.66%","175.75%","185.94%","198.82%","213.3%","229.9%","245.92%","264.18%","264.18%","264.18%","264.18%","100%","100.53%","100.98%","101.39%","101.84%","102.35%","102.81%","103.15%","103.47%","103.89%","104.53%","105.3%","106%","106.71%","107.48%","108.41%","110.66%","113.36%","115.54%","117.99%","117.99%","117.99%","117.99%","100%","99.84%","99.52%","99.08%","98.55%","97.98%","97.2%","96.17%","95.05%","94.04%","93.33%","93.02%","92.91%","92.86%","92.73%","92.35%","91.54%","90.5%","89.41%","88.14%","88.14%","88.14%","88.14%",70.22,49.42,4.3,"24.4%",148.2,1,24,379.49,148.2,3.2336770219840876,6.7,18,41.072044186258765,7.58,2.37,4.51,3.15,0.75,-0.57,"https://t1dindex.shinyapps.io/dashboard/?loc_id=174","1.0.4.15"
"Costa Rica",2289.31,735.52,33.120000000000005,2.44,1.47,7.57,4.93,23.11,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",33.120000000000005,29.21,48.85,47.93,"0.37%","0.4%","0.58%","100%","106.19%","112.75%","119.72%","127.08%","134.88%","143.08%","151.58%","160.45%","169.7%","179.28%","189.06%","199.25%","209.86%","220.6%","231.69%","243.01%","254.6%","266.51%","278.57%","291.09%","303.78%","316.75%","100%","101.81%","103.5%","105.09%","106.63%","108.15%","109.67%","111.16%","112.64%","114.09%","115.52%","116.92%","118.31%","119.67%","121.02%","122.34%","123.64%","124.91%","126.16%","127.38%","128.55%","129.68%","130.77%","100%","104.63%","109.57%","114.79%","120.17%","125.77%","131.58%","137.64%","144.03%","150.69%","157.59%","165.02%","173.17%","181.81%","190.65%","199.4%","209.49%","219.74%","230.04%","242.05%","242.05%","242.05%","242.05%","100%","105.71%","113.36%","121.76%","130.33%","139.27%","148.56%","158.36%","168.91%","180.29%","192.21%","204.77%","217.62%","229.89%","241.42%","252.42%","263.45%","274.86%","286.93%","299.29%","299.29%","299.29%","299.29%","100%","100.55%","100.52%","100.02%","99.21%","98.23%","96.11%","92.52%","88.59%","85.37%","83.85%","83.62%","83.54%","83.54%","83.53%","83.42%","83%","82.84%","83.22%","83.69%","83.69%","83.69%","83.69%","100%","100.6%","100.86%","100.88%","100.76%","100.61%","100.45%","100.22%","99.93%","99.56%","99.1%","98.58%","98.02%","97.4%","96.7%","95.89%","94.87%","93.77%","92.64%","91.43%","91.43%","91.43%","91.43%",81.97,33.120000000000005,6.1,"5.5%",295.99,1,5.9,163.81,295.99,1.3067665587021007,6.1,18,41.03166983020928,5.38,1.23,5.11,4.1,-0.81,-0.41,"https://t1dindex.shinyapps.io/dashboard/?loc_id=188","1.0.4.15"
"Cote d'Ivoire",7804.46,15517.26,44.010000000000005,0.57,0.708,0.58,1.4100000000000001,42.86,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",44.010000000000005,43.67199999999999,20.869999999999997,30.208000000000002,"1.95%","2.26%","2.82%","100%","106.81%","114.04%","122.3%","131.33%","141.34%","152.79%","165.74%","179.93%","195.61%","213.24%","232.17%","252.77%","275.2%","298.65%","324.04%","350.97%","379.43%","408.46%","439.02%","471.14%","505.22%","538.84%","100%","102.42%","104.72%","106.96%","109.21%","111.55%","113.98%","116.51%","119.15%","121.91%","124.78%","127.8%","130.95%","134.23%","137.64%","141.15%","144.78%","148.51%","152.35%","156.29%","160.31%","164.41%","168.6%","100%","105.23%","110.56%","115.94%","121.49%","127.11%","132.72%","138.64%","144.77%","151.17%","157.59%","163.79%","170.2%","176.87%","184.06%","191.74%","200.25%","209.56%","219.7%","231.3%","231.3%","231.3%","231.3%","100%","97.87%","95.11%","91.86%","88.25%","84.64%","81.65%","78.98%","76.71%","74.78%","72.62%","70.05%","67.65%","65.25%","62.79%","60.86%","59.29%","58.01%","56.91%","55.93%","55.93%","55.93%","55.93%","100%","102.56%","105.04%","107.45%","109.83%","112.17%","113.79%","114.39%","114.59%","115.04%","116.42%","118.3%","119.93%","121.59%","123.54%","126.07%","131.53%","137.68%","142.04%","146.36%","146.36%","146.36%","146.36%","100%","101.18%","102.02%","102.56%","102.89%","103.1%","103%","102.48%","101.79%","101.14%","100.81%","100.87%","101.14%","101.46%","101.62%","101.44%","100.57%","99.16%","97.31%","94.86%","94.86%","94.86%","94.86%",64.88,44.010000000000005,2.8,"18%",2187.48,1,18.8,8464.61,2187.48,3.2336770219840876,7.4,18,41.072044186258765,7.96,2.4,-2.61,3.89,1.75,-0.24,"https://t1dindex.shinyapps.io/dashboard/?loc_id=384","1.0.4.15"
"Croatia",14216.81,2066.37,18.749999999999993,2.98,2.55,6.68,6.65,9.089999999999996,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",18.749999999999993,18.136000000000003,61.099999999999994,64.628,"0.74%","2.22%","5.69%","100%","103.71%","108.79%","115.26%","122.59%","130.45%","137.75%","143.46%","150.99%","159.5%","167.29%","175.61%","185.76%","196.25%","206.52%","217.5%","229.05%","240.91%","253.37%","266.48%","280.5%","295.02%","310.6%","100%","99.55%","99.27%","99.11%","99%","98.87%","98.7%","98.51%","98.29%","98.03%","97.74%","97.4%","97.01%","96.57%","96.1%","95.59%","95.04%","94.46%","93.86%","93.27%","92.71%","92.17%","91.67%","100%","102.32%","105.29%","108.37%","111.22%","113.58%","115.45%","117.45%","119.31%","121.02%","122.74%","124.5%","126.59%","128.85%","131.06%","133.15%","135.37%","137.98%","142.46%","149.26%","149.26%","149.26%","149.26%","100%","103.6%","107.56%","112.33%","118.38%","126.21%","135.25%","145.78%","157.93%","169.35%","179.5%","189.43%","198.68%","207.77%","216.59%","223.83%","230.07%","235.81%","241.39%","246.92%","246.92%","246.92%","246.92%","100%","97.32%","94.84%","92.49%","90.33%","88.46%","86.85%","85.52%","84.28%","83.09%","81.92%","80.61%","79.27%","78.01%","76.91%","76.08%","76.36%","77.06%","77.19%","77.21%","77.21%","77.21%","77.21%","100%","97.07%","94.21%","91.46%","88.84%","86.39%","84.09%","81.85%","79.68%","77.57%","75.49%","73.39%","71.2%","69.04%","67%","65.13%","63.49%","61.95%","60.42%","58.9%","58.9%","58.9%","58.9%",79.85,18.749999999999993,0,"0%",0,1,0,246.6,0,1.1117573827244247,5.9,18,39.719947229636006,5.29,-0.39,4.19,1.84,-1.17,-2.38,"https://t1dindex.shinyapps.io/dashboard/?loc_id=191","1.0.4.15"
"Cuba",9347.57,3133.7,27.97,2.51,1.47,6.09,4.93,19.370000000000005,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",27.97,29.21,52.01,47.93,"0.32%","0.67%","1.06%","100%","103.95%","108.4%","113.18%","118.23%","123.34%","128.59%","133.81%","139.12%","144.67%","150.5%","156.55%","162.83%","169.27%","175.89%","182.79%","189.33%","196.04%","202.98%","209.94%","216.96%","224.18%","231.23%","100%","100.34%","100.66%","100.92%","101.11%","101.21%","101.2%","101.11%","100.99%","100.89%","100.89%","100.98%","101.17%","101.4%","101.61%","101.77%","101.86%","101.9%","101.89%","101.85%","101.78%","101.7%","101.59%","100%","101.95%","103.95%","106.05%","108.29%","110.73%","113.3%","116.09%","119.06%","122.24%","125.65%","129.66%","134.56%","139.97%","145.55%","150.85%","155.78%","160.64%","165.68%","171.23%","171.23%","171.23%","171.23%","100%","111.21%","126.92%","149.02%","175.74%","206.31%","241.1%","279.9%","323.14%","371.98%","427.85%","490.87%","559.04%","629.97%","699.4%","763.87%","828.2%","893.86%","957.56%","1019.99%","1019.99%","1019.99%","1019.99%","100%","99.09%","98.03%","96.86%","95.53%","94.14%","92.8%","91.45%","90.2%","89.14%","88.2%","87.29%","86.37%","85.43%","84.58%","83.93%","84.07%","84.33%","84.04%","83.72%","83.72%","83.72%","83.72%","100%","98.64%","97.15%","95.6%","94.06%","92.61%","91.27%","90.01%","88.78%","87.54%","86.22%","84.87%","83.46%","81.97%","80.39%","78.68%","76.71%","74.71%","72.93%","71.27%","71.27%","71.27%","71.27%",79.98,27.97,6.2,"4.5%",1124.89,1,1.4,382.25,1124.89,1.3067665587021007,6.6,18,41.03166983020928,3.88,0.07,11.13,2.47,-0.8,-1.53,"https://t1dindex.shinyapps.io/dashboard/?loc_id=192","1.0.4.15"
"Curaçao",8.69,2.53,30.78000000000001,2.51,2.55,8.74,6.65,19.53000000000001,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",30.78000000000001,18.136000000000003,49.76,64.628,"0.02%","0.04%","0.04%","100%","102.53%","105.38%","109.18%","113.92%","118.67%","124.68%","134.18%","142.72%","153.8%","163.92%","173.73%","182.28%","191.77%","199.37%","209.81%","217.41%","227.22%","236.71%","246.52%","255.06%","265.19%","275%","100%","98.68%","97.68%","97.18%","97.4%","98.47%","100.5%","103.35%","106.7%","109.99%","112.89%","115.25%","117.14%","118.64%","119.88%","120.95%","121.86%","122.56%","123.14%","123.65%","124.16%","124.68%","125.23%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.54,30.78000000000001,0,"0%",0,1,9.3,1.05,0,1.1117573827244247,5.9,18,39.719947229636006,4.71,1.03,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=531","1.0.4.15"
