world_bank_name,united_nations_name,sub_saharan_africa,drop_country,world_bank_code,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id,broad_region_id,region_id
Kyrgyzstan,Kyrgyzstan,FALSE,FALSE,KGZ,LMIC,Central Asia,Asia-Pacific,APAC,EUR,Europe,417,2,4
Lao People's Democratic Republic,Lao People's Democratic Republic,FALSE,FALSE,LAO,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,418,2,11
Latvia,Latvia,FALSE,FALSE,LVA,HIC,Western Europe,Europe,EUR,EUR,Europe,428,3,13
Lebanon,Lebanon,FALSE,FALSE,LBN,UMIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,422,4,5
Lesotho,Lesotho,TRUE,FALSE,LSO,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,426,4,12
Liberia,Liberia,TRUE,FALSE,LBR,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,430,4,12
Libya,Libya,FALSE,FALSE,LBY,UMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,434,4,7
Lithuania,Lithuania,FALSE,FALSE,LTU,HIC,Western Europe,Europe,EUR,EUR,Europe,440,3,13
Luxembourg,Luxembourg,FALSE,FALSE,LUX,HIC,Western Europe,Europe,EUR,EUR,Europe,442,3,13
Macedonia,North Macedonia,FALSE,FALSE,MKD,UMIC,Western Europe,Europe,EUR,EUR,Europe,807,3,13
Madagascar,Madagascar,TRUE,FALSE,MDG,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,450,4,12
Malawi,Malawi,TRUE,FALSE,MWI,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,454,4,12
Malaysia,Malaysia,FALSE,FALSE,MYS,UMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,458,2,11
Maldives,Maldives,FALSE,FALSE,MDV,UMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,462,2,10
Mali,Mali,TRUE,FALSE,MLI,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,466,4,12
Malta,Malta,FALSE,FALSE,MLT,HIC,Western Europe,Europe,EUR,EUR,Europe,470,3,13
Martinique,Martinique,FALSE,TRUE,MTQ,UMIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,474,1,2
Mauritania,Mauritania,TRUE,FALSE,MRT,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,478,4,12
Mauritius,Mauritius,TRUE,FALSE,MUS,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,SEA,South Asia,480,4,12
Mayotte,Mayotte,TRUE,TRUE,MYT,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,N/A,N/A,175,4,12
Mexico,Mexico,FALSE,FALSE,MEX,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,484,1,2
Moldova,Republic of Moldova,FALSE,FALSE,MDA,LMIC,Eastern Europe,Europe,EUR,EUR,Europe,498,3,4
Mongolia,Mongolia,FALSE,FALSE,MNG,LMIC,East Asia,Asia-Pacific,APAC,WP,Western Pacific,496,2,3
Montenegro,Montenegro,FALSE,FALSE,MNE,UMIC,Western Europe,Europe,EUR,EUR,Europe,499,3,13
Morocco,Morocco,FALSE,FALSE,MAR,LMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,504,4,7
Mozambique,Mozambique,TRUE,FALSE,MOZ,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,508,4,12
Myanmar,Myanmar,FALSE,FALSE,MMR,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,104,2,11
Namibia,Namibia,TRUE,FALSE,NAM,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,516,4,12
Nepal,Nepal,FALSE,FALSE,NPL,LIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,524,2,10
Netherlands,Netherlands,FALSE,FALSE,NLD,HIC,Western Europe,Europe,EUR,EUR,Europe,528,3,13
New Caledonia,New Caledonia,FALSE,TRUE,NCL,HIC,Oceania,Asia-Pacific,APAC,N/A,N/A,540,2,11
New Zealand,New Zealand,FALSE,FALSE,NZL,HIC,Australasia,Asia-Pacific,MEA,WP,Western Pacific,554,2,1
Nicaragua,Nicaragua,FALSE,FALSE,NIC,LMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,558,1,2
Niger,Niger,TRUE,FALSE,NER,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,562,4,12
Nigeria,Nigeria,TRUE,FALSE,NGA,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,566,4,12
Norway,Norway,FALSE,FALSE,NOR,HIC,Nordic Countries,Europe,EUR,EUR,Europe,578,3,6
Oman,Oman,FALSE,FALSE,OMN,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,512,4,5
