loc_id,year,hba1c
392,2040,8.5
392,2050,8.5
392,2060,8.5
392,2100,8.5
400,1850,13.5
400,1920,13.5
400,1921,12
400,1950,12
400,1980,12
400,1990,9.5
400,2000,9.5
400,2010,9.5
400,2020,9.5
400,2030,9.5
400,2040,9.5
400,2050,9.5
400,2060,9.5
400,2100,9.5
398,1850,13.5
398,1920,13.5
398,1921,12
398,1950,12
398,1980,12
398,1990,9.5
398,2000,9.5
398,2010,9.5
398,2020,9.5
398,2030,9.5
398,2040,9.5
398,2050,9.5
398,2060,9.5
398,2100,9.5
404,1850,13.5
404,1920,13.5
404,1921,12
404,1950,12
404,1980,12
404,1990,12
404,2000,12
404,2010,12
404,2020,11.5
404,2030,11.5
404,2040,11.5
404,2050,11.5
404,2060,11.5
404,2100,11.5
296,1850,13.5
296,1920,13.5
296,1921,12
296,1950,12
296,1980,12
296,1990,12
296,2000,12
296,2010,12
296,2020,11.5
296,2030,11.5
296,2040,11.5
296,2050,11.5
296,2060,11.5
296,2100,11.5
414,1850,13.5
414,1920,13.5
414,1921,11
414,1950,11
414,1980,10
414,1990,9
414,2000,9
414,2010,9
414,2020,8.5
414,2030,8.5
414,2040,8.5
414,2050,8.5
414,2060,8.5
414,2100,8.5
417,1850,13.5
417,1920,13.5
417,1921,12
417,1950,12
417,1980,12
417,1990,12
417,2000,12
417,2010,12
417,2020,11.5
417,2030,11.5
417,2040,11.5
417,2050,11.5
417,2060,11.5
417,2100,11.5
418,1850,13.5
418,1920,13.5
418,1921,12
418,1950,12
418,1980,12
418,1990,12
418,2000,12
418,2010,12
418,2020,11.5
418,2030,11.5
418,2040,11.5
418,2050,11.5
418,2060,11.5
418,2100,11.5
428,1850,13.5
428,1920,13.5
428,1921,11
428,1950,11
428,1980,10
428,1990,9
428,2000,9
428,2010,9
428,2020,8.5
428,2030,8.5
428,2040,8.5
428,2050,8.5
428,2060,8.5
428,2100,8.5
422,1850,13.5
422,1920,13.5
422,1921,12
422,1950,12
422,1980,12
422,1990,9.5
422,2000,9.5
422,2010,9.5
422,2020,9.5
422,2030,9.5
422,2040,9.5
422,2050,9.5
